,State,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
0,Alabama,5682.838120380147,5840.549785056294,5753.496432432433,6008.168871819491,6475.091705915513,7188.954302510785,8071.133759305723,8451.902222891085,9098.069156365667,9358.928841920719,9496.08410616773,9751.101349251952
1,Alaska,4328.28136219641,4632.623449334697,4918.500619164619,5069.8221315410465,5075.482406211925,5454.606609674439,5759.1529509978855,5762.420525668151,6026.142668831622,6012.444734505496,6148.8080103742395,6571.340316948697
2,Arizona,5138.495311510031,5415.516049129989,5481.419144963145,5681.637954872779,6058.463821352584,7263.204331533172,8839.604652976226,9966.716344579101,10133.503177596202,10296.19970945452,10413.843881948766,10646.278351749399
3,Arkansas,5772.301869060189,6082.37932446264,6231.97717936118,6414.9003648583775,6416.503409648851,6627.092142595113,6900.9124126764245,7028.991050008409,7286.580461275229,7408.49506258476,7606.4100076366985,7867.29673593428
4,California,5285.921488912354,5527.88128966223,5334.825778869779,5672.47217474796,5897.888490843956,7258.771493979597,8193.738802170532,9436.425766414957,9360.573556114254,9274.193266401124,9186.824330004287,9269.844227224636
5,Colorado,4703.777096092925,5406.966519959058,5596.348343980344,6227.001872299568,6284.137258824171,6948.472865229323,7748.200833902876,8315.632333283167,8792.855707451637,9292.953577972225,9298.598732299311,9748.187715504646
6,Connecticut,7983.694530095036,8249.074288638689,8367.549336609336,8677.702333173307,8720.976396137548,9371.01858825824,9827.013123191033,9736.430794699054,10036.626553879461,10453.110454684129,10663.99540812104,11397.336553140489
7,Delaware,8352.89,8610.597236438074,8681.845513513514,8945.801401824292,8995.473413831354,9987.18300820521,10534.18149542913,11026.241145173997,11362.690446260214,11502.523758594734,11514.659801409278,11676.215597471757
8,Florida,3848.201246040126,3924.2338894575228,3887.6560687960687,3879.416437830053,4150.004318888545,4783.031720307777,5510.658801620102,5940.944644611856,6494.900525525525,6451.664428895833,6344.999755265317,6360.159309231394
9,Georgia,4298.0400950369585,4492.166898669396,4584.267744471745,4790.265837734038,4831.364505100834,5549.912617076308,6428.007247340731,7709.284142314604,7853.256625811859,7992.389604274045,8063.014195175817,8446.961426315582
10,Hawaii,4266.538775079197,4263.772333674513,4957.201267813268,5748.089860777724,6317.771280755032,7356.293920158254,8164.182229337052,8839.584777046945,8972.025377121307,9269.589847646064,9712.779264002842,10174.733720305641
