id,State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Average
1,Alabama,5682,5840,5753,6008,6475,7188,8071,8451,9098,9358,9496,9751,7598
2,Alaska,4328,4632,4918,5069,5075,5454,5759,5762,6026,6012,6148,6571,5479
4,Arizona,5138,5415,5481,5681,6058,7263,8839,9966,10133,10296,10413,10646,7944
5,Arkansas,5772,6082,6231,6414,6416,6627,6900,7028,7286,7408,7606,7867,6803
6,California,5285,5527,5334,5672,5897,7258,8193,9436,9360,9274,9186,9269,7474
8,Colorado,4703,5406,5596,6227,6284,6948,7748,8315,8792,9292,9298,9748,7363
9,Connecticut,7983,8249,8367,8677,8720,9371,9827,9736,10036,10453,10663,11397,9457
10,Delaware,8352,8610,8681,8945,8995,9987,10534,11026,11362,11502,11514,11676,10099
12,Florida,3848,3924,3887,3879,4150,4783,5510,5940,6494,6451,6344,6360,5131
13,Georgia,4298,4492,4584,4790,4831,5549,6428,7709,7853,7992,8063,8446,6253
15,Hawaii,4266,4263,4957,5748,6317,7356,8164,8839,8972,9269,9712,10174,7336
16,Idaho,4524,4790,4873,5020,5003,5414,5834,6002,6238,6462,6609,6818,5632
17,Illinois,8182,8444,9449,10424,10872,11536,12007,12285,12675,12852,12812,13189,11227
18,Indiana,7367,7517,7687,7876,7835,8470,8744,8813,9078,9118,9048,9119,8389
19,Iowa,6813,6862,6919,7124,6979,7438,7832,7988,8157,8007,7868,7877,7489
20,Kansas,5345,5739,6113,6583,6520,6995,7254,7309,7583,7896,8270,8530,7011
21,Kentucky,5639,6142,6759,7193,7387,7886,8230,8423,8814,8888,9223,9566,7846
22,Louisiana,4453,4512,4421,4388,4419,4745,5181,5541,6119,6748,7336,7870,5478
23,Maine,7057,7407,7758,8402,8764,9468,9791,9893,9753,9594,9560,9572,8918
24,Maryland,8530,8716,8462,8379,8020,8284,8469,8409,8552,8663,8696,9163,8529
25,Massachusetts,8863,8958,8892,9036,8939,10238,10386,10737,11092,10980,10986,11588,10058
26,Michigan,7930,8668,8998,9737,9905,10817,11094,11451,11659,11851,11618,11990,10476
27,Minnesota,8143,8481,8816,8934,9023,9738,10275,10582,10792,10690,10582,10831,9741
28,Mississippi,5028,5110,5218,5450,5367,5487,5795,5992,6415,6707,6870,7147,5882
29,Missouri,7477,7659,7653,7842,7842,7995,7959,8118,8276,8268,8409,8564,8005
30,Montana,5629,6006,6166,6074,5789,6078,6143,6212,6411,6360,6301,6351,6127
31,Nebraska,5947,6475,6132,6394,6462,6908,7224,7295,7483,7473,7347,7607,6896
32,Nevada,3621,3687,4274,4523,4770,5034,5821,6383,6656,6525,6437,6667,5366
33,New Hampshire,10187,10484,10703,11111,11167,12273,13077,14262,15224,14968,14755,15159,12781
34,New Jersey,10053,10504,10942,11427,11661,12337,12752,12707,12934,12998,13027,13303,12054
35,New Mexico,4925,5187,4756,4867,4904,5303,5613,5741,5914,6089,6165,6354,5485
36,New York,6234,6114,5911,5815,5556,6361,6341,6553,6835,7076,7305,7643,6479
37,North Carolina,4493,4464,4769,4933,4764,5030,5827,6009,6459,6657,6684,6973,5588
38,North Dakota,5803,6197,6464,6648,6625,7020,7191,7247,7298,7431,7526,7687,6928
39,Ohio,10377,10186,9903,9695,9194,9425,9913,9980,10175,10156,10103,10195,9942
40,Oklahoma,4454,4638,5197,5720,6120,6007,6294,6413,6669,6725,7093,7449,6065
41,Oregon,6578,6631,6539,6812,6769,7653,8137,8444,8658,8786,8949,9371,7777
42,Pennsylvania,10394,10556,10614,11218,11232,11928,12403,12766,12892,13079,13157,13394,11969
44,Rhode Island,7475,7864,7959,8273,8383,9423,10201,10578,11376,11131,10977,11390,9586
45,South Carolina,8330,9019,9279,9590,9907,10550,11015,10939,11191,11407,11469,11816,10376
46,South Dakota,5478,5609,5827,6121,6182,6683,6916,7175,7695,7809,7713,8054,6772
47,Tennessee,5425,5817,5832,6146,6169,6757,7139,7574,7995,8210,8940,9263,7106
48,Texas,6394,6577,7018,7389,7506,8120,8477,8506,8691,8705,8852,9116,7946
49,Utah,4125,4376,4475,4650,4638,5067,5381,5598,5845,6041,6171,6362,5227
50,Vermont,11067,11295,11472,12012,12304,13316,13655,13832,14088,14266,14501,14993,13067
51,Virginia,7029,7356,7688,8029,8225,8794,9643,10072,10313,10590,11202,11818,9230
53,Washington,6191,6414,6649,6858,6979,8113,8973,10029,11036,11045,10703,10288,8606
54,West Virginia,4575,4727,4885,5048,5106,5518,5720,5847,6130,6388,6697,7171,5651
55,Wisconsin,6574,6871,7085,7347,7373,7944,8441,8658,9052,8930,8785,8815,7990
56,Wyoming,4086,4188,4122,4071,3928,4129,4298,4357,4456,4499,4653,4890,4306
